Station Name,Measurement Timestamp,Air Temperature,Humidity,Barometric Pressure,Measurement ID,Reason for Failure
63rd Street Weather Station,09/27/2018 10:00:00 AM,16.4,,996.3,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/27/2018 11:00:00 AM,17.1,,995.4,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/27/2018 01:00:00 PM,18.2,,994.8,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/27/2018 01:00:00 PM,17.89,,993.6,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/27/2018 03:00:00 PM,19.5,,992.9,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/27/2018 03:00:00 PM,19.39,,991.9,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/27/2018 04:00:00 PM,20.2,,992.3,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/27/2018 04:00:00 PM,19.78,,991.5,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/27/2018 05:00:00 PM,20.4,,991.7,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/27/2018 05:00:00 PM,20.0,,990.9,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/27/2018 06:00:00 PM,20.1,,991.7,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/27/2018 06:00:00 PM,19.56,,990.9,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/27/2018 08:00:00 PM,18.7,,991.6,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/27/2018 11:00:00 PM,16.7,,993.0,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/27/2018 11:00:00 PM,17.5,,991.9,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/28/2018 12:00:00 AM,16.1,,993.0,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/28/2018 12:00:00 AM,17.06,,991.9,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/28/2018 01:00:00 AM,15.6,,992.9,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/28/2018 01:00:00 AM,16.78,,991.9,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/28/2018 03:00:00 AM,15.2,,993.4,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/28/2018 03:00:00 AM,15.67,,992.2,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/28/2018 04:00:00 AM,14.6,,993.4,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/28/2018 04:00:00 AM,15.06,,992.2,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/28/2018 05:00:00 AM,14.1,,994.0,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/28/2018 05:00:00 AM,14.5,,993.2,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/28/2018 06:00:00 AM,13.8,,994.4,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/28/2018 06:00:00 AM,14.17,,993.6,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/28/2018 07:00:00 AM,13.5,,995.0,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/28/2018 07:00:00 AM,13.89,,994.2,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/28/2018 08:00:00 AM,14.4,,995.6,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/28/2018 08:00:00 AM,14.17,,994.6,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/28/2018 09:00:00 AM,15.0,,996.3,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/28/2018 09:00:00 AM,14.78,,995.6,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/28/2018 10:00:00 AM,15.8,,996.6,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/28/2018 10:00:00 AM,15.39,,995.9,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/27/2018 09:00:00 PM,18.1,,992.2,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/28/2018 11:00:00 AM,17.0,,996.8,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/28/2018 11:00:00 AM,15.17,,996.3,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/12/2015 03:00:00 PM,15.28,,993.9,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/12/2015 04:00:00 PM,15.67,,993.9,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/12/2015 05:00:00 PM,15.89,,993.6,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/12/2015 06:00:00 PM,15.67,,993.6,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/12/2015 07:00:00 PM,15.39,,993.6,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/12/2015 08:00:00 PM,15.28,,993.6,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/12/2015 09:00:00 PM,15.17,,993.9,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/12/2015 10:00:00 PM,14.67,,993.9,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/12/2015 11:00:00 PM,13.67,,993.9,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/12/2015 12:00:00 AM,14.0,,993.9,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/13/2015 02:00:00 AM,11.78,,993.6,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/13/2015 03:00:00 AM,11.39,,993.6,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/13/2015 04:00:00 AM,11.28,,993.6,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/13/2015 05:00:00 AM,11.28,,993.9,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/13/2015 06:00:00 AM,11.5,,993.9,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/13/2015 07:00:00 AM,12.06,,994.2,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/13/2015 08:00:00 AM,13.0,,994.6,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/13/2015 09:00:00 AM,15.17,,994.6,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/13/2015 10:00:00 AM,17.0,,994.6,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/13/2015 11:00:00 AM,18.06,,994.6,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/13/2015 12:00:00 PM,19.0,,994.6,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/13/2015 01:00:00 PM,19.06,,993.9,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/13/2015 02:00:00 PM,20.0,,993.6,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/13/2015 03:00:00 PM,19.39,,993.2,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/13/2015 04:00:00 PM,17.89,,992.9,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/13/2015 05:00:00 PM,18.28,,992.6,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/13/2015 06:00:00 PM,18.28,,992.2,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/13/2015 07:00:00 PM,18.28,,992.2,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/13/2015 08:00:00 PM,18.78,,992.2,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/13/2015 09:00:00 PM,18.39,,992.6,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/13/2015 10:00:00 PM,18.06,,992.9,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/13/2015 11:00:00 PM,17.39,,992.9,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/13/2015 12:00:00 AM,12.67,,993.9,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/14/2015 01:00:00 AM,16.0,,993.2,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/14/2015 02:00:00 AM,15.56,,993.6,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/28/2018 12:00:00 PM,16.9,,997.7,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/28/2018 12:00:00 PM,15.39,,996.6,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/28/2018 01:00:00 PM,16.5,,997.5,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/28/2018 01:00:00 PM,15.39,,997.0,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/28/2018 02:00:00 PM,16.2,,997.9,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/28/2018 02:00:00 PM,14.78,,997.6,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/28/2018 03:00:00 PM,15.5,,998.9,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/28/2018 03:00:00 PM,13.17,,998.6,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/28/2018 04:00:00 PM,12.8,,1000.2,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/28/2018 04:00:00 PM,11.28,,1000.0,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/28/2018 05:00:00 PM,11.3,,1000.8,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/28/2018 05:00:00 PM,10.28,,999.7,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/28/2018 07:00:00 PM,10.8,,1001.0,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/28/2018 07:00:00 PM,10.17,,1000.0,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/28/2018 08:00:00 PM,10.9,,1001.7,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/28/2018 08:00:00 PM,10.17,,1000.7,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/29/2018 01:00:00 AM,9.6,,1003.5,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/29/2018 01:00:00 AM,8.56,,1002.4,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,07/31/2019 09:00:00 AM,20.6,,999.9,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,07/31/2019 09:00:00 AM,20.06,,999.7,,"Missing critical fields: Measurement ID, Humidity"
Oak Street Weather Station,07/31/2019 09:00:00 AM,20.8,,1001.0,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,07/31/2019 10:00:00 AM,20.4,,1000.3,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,07/31/2019 10:00:00 AM,20.17,,1000.0,,"Missing critical fields: Measurement ID, Humidity"
Oak Street Weather Station,07/31/2019 10:00:00 AM,20.7,,1001.4,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,07/31/2019 11:00:00 AM,20.4,,1000.8,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,07/31/2019 11:00:00 AM,20.06,,1000.3,,"Missing critical fields: Measurement ID, Humidity"
Oak Street Weather Station,07/31/2019 11:00:00 AM,20.9,,1001.7,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,07/31/2019 12:00:00 PM,20.5,,1000.7,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,07/31/2019 12:00:00 PM,20.39,,1000.0,,"Missing critical fields: Measurement ID, Humidity"
Oak Street Weather Station,07/31/2019 12:00:00 PM,21.1,,1001.6,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,07/31/2019 01:00:00 PM,20.4,,1000.4,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,07/31/2019 01:00:00 PM,20.39,,1000.0,,"Missing critical fields: Measurement ID, Humidity"
Oak Street Weather Station,07/31/2019 01:00:00 PM,21.3,,1001.4,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,07/31/2019 02:00:00 PM,20.7,,1000.4,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,07/31/2019 02:00:00 PM,20.56,,1000.0,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/28/2018 09:00:00 PM,10.3,,1002.1,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/28/2018 09:00:00 PM,10.0,,1001.4,,"Missing critical fields: Measurement ID, Humidity"
63rd Street Weather Station,09/29/2018 02:00:00 AM,9.5,,1003.8,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/14/2015 03:00:00 AM,15.06,,993.6,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/14/2015 04:00:00 AM,14.78,,993.6,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/14/2015 05:00:00 AM,14.5,,993.6,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/14/2015 06:00:00 AM,14.67,,993.9,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/14/2015 07:00:00 AM,14.5,,994.6,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/14/2015 08:00:00 AM,15.06,,994.9,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/14/2015 09:00:00 AM,17.06,,995.3,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/14/2015 10:00:00 AM,19.39,,995.6,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/14/2015 11:00:00 AM,21.5,,995.3,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/14/2015 12:00:00 PM,23.67,,994.9,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/14/2015 01:00:00 PM,25.17,,994.6,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/14/2015 02:00:00 PM,26.39,,994.2,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/14/2015 03:00:00 PM,27.0,,993.9,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/14/2015 04:00:00 PM,27.28,,993.9,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/14/2015 05:00:00 PM,27.28,,993.9,,"Missing critical fields: Measurement ID, Humidity"
Foster Weather Station,09/14/2015 06:00:00 PM,27.06,,993.6,,"Missing critical fields: Measurement ID, Humidity"
