Station Name,Measurement Timestamp,Air Temperature,Humidity,Barometric Pressure,Measurement ID,Reason for Failure
Foster Weather Station,10/03/2015 09:00:00 AM,10.56,62,1000.3,,Missing critical fields: Measurement ID
Foster Weather Station,10/03/2015 11:00:00 AM,10.56,64,1000.0,,Missing critical fields: Measurement ID
Foster Weather Station,10/03/2015 12:00:00 PM,10.78,63,999.7,,Missing critical fields: Measurement ID
Foster Weather Station,10/03/2015 01:00:00 PM,10.78,67,1000.0,,Missing critical fields: Measurement ID
Foster Weather Station,10/03/2015 02:00:00 PM,11.06,64,999.7,,Missing critical fields: Measurement ID
Foster Weather Station,10/03/2015 03:00:00 PM,10.39,71,999.7,,Missing critical fields: Measurement ID
Foster Weather Station,10/03/2015 04:00:00 PM,10.17,78,1000.0,,Missing critical fields: Measurement ID
Foster Weather Station,10/03/2015 05:00:00 PM,10.0,81,999.7,,Missing critical fields: Measurement ID
Foster Weather Station,10/03/2015 07:00:00 PM,10.06,78,1000.0,,Missing critical fields: Measurement ID
Foster Weather Station,10/03/2015 08:00:00 PM,10.0,77,1000.0,,Missing critical fields: Measurement ID
Foster Weather Station,10/03/2015 09:00:00 PM,10.17,78,1000.0,,Missing critical fields: Measurement ID
Foster Weather Station,10/03/2015 10:00:00 PM,10.06,79,999.7,,Missing critical fields: Measurement ID
Foster Weather Station,10/03/2015 11:00:00 PM,9.89,81,999.7,,Missing critical fields: Measurement ID
Foster Weather Station,09/30/2018 05:00:00 PM,15.56,84,998.3,,Missing critical fields: Measurement ID
63rd Street Weather Station,08/03/2019 07:00:00 AM,22.3,78,997.7,,Missing critical fields: Measurement ID
Foster Weather Station,08/03/2019 07:00:00 AM,20.89,80,997.3,,Missing critical fields: Measurement ID
Oak Street Weather Station,08/03/2019 07:00:00 AM,25.9,63,998.6,,Missing critical fields: Measurement ID
63rd Street Weather Station,08/03/2019 08:00:00 AM,22.7,80,997.9,,Missing critical fields: Measurement ID
Foster Weather Station,08/03/2019 08:00:00 AM,21.67,82,997.6,,Missing critical fields: Measurement ID
Oak Street Weather Station,08/03/2019 08:00:00 AM,23.6,73,998.8,,Missing critical fields: Measurement ID
63rd Street Weather Station,08/03/2019 09:00:00 AM,22.8,81,997.9,,Missing critical fields: Measurement ID
Foster Weather Station,08/03/2019 09:00:00 AM,22.39,76,997.3,,Missing critical fields: Measurement ID
Oak Street Weather Station,08/03/2019 09:00:00 AM,23.3,79,998.7,,Missing critical fields: Measurement ID
63rd Street Weather Station,08/03/2019 11:00:00 AM,23.3,80,997.7,,Missing critical fields: Measurement ID
Foster Weather Station,08/03/2019 11:00:00 AM,23.56,71,997.3,,Missing critical fields: Measurement ID
Oak Street Weather Station,08/03/2019 11:00:00 AM,24.1,72,998.6,,Missing critical fields: Measurement ID
63rd Street Weather Station,08/03/2019 12:00:00 PM,23.0,78,997.5,,Missing critical fields: Measurement ID
Foster Weather Station,08/03/2019 12:00:00 PM,24.0,68,997.3,,Missing critical fields: Measurement ID
Oak Street Weather Station,08/03/2019 12:00:00 PM,24.5,70,998.2,,Missing critical fields: Measurement ID
63rd Street Weather Station,08/03/2019 01:00:00 PM,23.2,79,997.2,,Missing critical fields: Measurement ID
Foster Weather Station,08/03/2019 01:00:00 PM,24.17,62,997.0,,Missing critical fields: Measurement ID
Oak Street Weather Station,08/03/2019 01:00:00 PM,24.2,67,998.0,,Missing critical fields: Measurement ID
63rd Street Weather Station,08/03/2019 02:00:00 PM,23.8,69,996.9,,Missing critical fields: Measurement ID
Foster Weather Station,08/03/2019 02:00:00 PM,23.67,63,996.3,,Missing critical fields: Measurement ID
Oak Street Weather Station,08/03/2019 02:00:00 PM,25.3,55,997.6,,Missing critical fields: Measurement ID
63rd Street Weather Station,08/03/2019 05:00:00 PM,25.3,74,995.3,,Missing critical fields: Measurement ID
