Station Name,Measurement Timestamp,Air Temperature,Humidity,Barometric Pressure,Measurement ID,Reason for Failure
Foster Weather Station,,15.17,83,995.9,FosterWeatherStation201510070400,Missing critical fields: Measurement Timestamp
Foster Weather Station,,15.0,84,995.6,FosterWeatherStation201510070500,Missing critical fields: Measurement Timestamp
Foster Weather Station,,14.89,84,996.3,FosterWeatherStation201510070600,Missing critical fields: Measurement Timestamp
Foster Weather Station,,14.89,84,997.0,FosterWeatherStation201510070700,Missing critical fields: Measurement Timestamp
Foster Weather Station,,15.56,80,997.3,FosterWeatherStation201510070800,Missing critical fields: Measurement Timestamp
Foster Weather Station,,17.28,68,998.0,FosterWeatherStation201510070900,Missing critical fields: Measurement Timestamp
Foster Weather Station,,16.56,70,998.3,FosterWeatherStation201510071000,Missing critical fields: Measurement Timestamp
Foster Weather Station,,15.89,78,998.6,FosterWeatherStation201510071100,Missing critical fields: Measurement Timestamp
Foster Weather Station,,15.56,81,999.0,FosterWeatherStation201510071200,Missing critical fields: Measurement Timestamp
Foster Weather Station,,15.67,82,999.0,FosterWeatherStation201510071300,Missing critical fields: Measurement Timestamp
Foster Weather Station,,15.39,84,998.6,FosterWeatherStation201510071400,Missing critical fields: Measurement Timestamp
Foster Weather Station,,15.17,85,998.3,FosterWeatherStation201510071500,Missing critical fields: Measurement Timestamp
Foster Weather Station,,15.56,80,998.0,FosterWeatherStation201510071600,Missing critical fields: Measurement Timestamp
Foster Weather Station,,15.06,81,998.0,FosterWeatherStation201510071700,Missing critical fields: Measurement Timestamp
Foster Weather Station,,14.78,81,998.0,FosterWeatherStation201510071800,Missing critical fields: Measurement Timestamp
Foster Weather Station,,14.56,82,998.3,FosterWeatherStation201510071900,Missing critical fields: Measurement Timestamp
Foster Weather Station,,14.39,79,998.3,FosterWeatherStation201510072000,Missing critical fields: Measurement Timestamp
Foster Weather Station,,14.28,79,998.3,FosterWeatherStation201510072100,Missing critical fields: Measurement Timestamp
Foster Weather Station,,14.28,77,998.3,FosterWeatherStation201510072200,Missing critical fields: Measurement Timestamp
Foster Weather Station,,14.5,73,998.0,FosterWeatherStation201510072300,Missing critical fields: Measurement Timestamp
Foster Weather Station,,15.28,79,996.6,FosterWeatherStation201510072400,Missing critical fields: Measurement Timestamp
Foster Weather Station,,13.78,77,997.0,FosterWeatherStation201510080100,Missing critical fields: Measurement Timestamp
Foster Weather Station,,13.67,73,996.3,FosterWeatherStation201510080200,Missing critical fields: Measurement Timestamp
Foster Weather Station,,13.67,74,995.9,FosterWeatherStation201510080300,Missing critical fields: Measurement Timestamp
Foster Weather Station,,14.0,75,995.6,FosterWeatherStation201510080400,Missing critical fields: Measurement Timestamp
Foster Weather Station,,13.89,79,995.3,FosterWeatherStation201510080500,Missing critical fields: Measurement Timestamp
Foster Weather Station,,13.89,75,994.9,FosterWeatherStation201510080600,Missing critical fields: Measurement Timestamp
Foster Weather Station,,15.17,80,999.0,FosterWeatherStation201809301900,Missing critical fields: Measurement Timestamp
63rd Street Weather Station,,16.4,88,1000.0,63rdStreetWeatherStation201809302000,Missing critical fields: Measurement Timestamp
Foster Weather Station,,15.5,80,999.3,FosterWeatherStation201809302000,Missing critical fields: Measurement Timestamp
63rd Street Weather Station,,24.5,74,995.3,63rdStreetWeatherStation201908031600,Missing critical fields: Measurement Timestamp
Foster Weather Station,,25.0,59,995.3,FosterWeatherStation201908031600,Missing critical fields: Measurement Timestamp
Oak Street Weather Station,,25.4,63,996.3,OakStreetWeatherStation201908031600,Missing critical fields: Measurement Timestamp
63rd Street Weather Station,,24.8,77,994.8,63rdStreetWeatherStation201908031900,Missing critical fields: Measurement Timestamp
Foster Weather Station,,24.67,68,994.2,FosterWeatherStation201908031900,Missing critical fields: Measurement Timestamp
Oak Street Weather Station,,27.0,51,995.4,OakStreetWeatherStation201908031900,Missing critical fields: Measurement Timestamp
63rd Street Weather Station,,24.7,68,995.7,63rdStreetWeatherStation201908032300,Missing critical fields: Measurement Timestamp
Foster Weather Station,,23.06,68,994.9,FosterWeatherStation201908032300,Missing critical fields: Measurement Timestamp
Oak Street Weather Station,,24.8,60,996.4,OakStreetWeatherStation201908032300,Missing critical fields: Measurement Timestamp
63rd Street Weather Station,,23.2,88,995.4,63rdStreetWeatherStation201908040400,Missing critical fields: Measurement Timestamp
Foster Weather Station,,22.5,72,995.3,FosterWeatherStation201908040400,Missing critical fields: Measurement Timestamp
Oak Street Weather Station,,24.0,67,996.4,OakStreetWeatherStation201908040400,Missing critical fields: Measurement Timestamp
63rd Street Weather Station,,22.8,91,995.6,63rdStreetWeatherStation201908040600,Missing critical fields: Measurement Timestamp
Foster Weather Station,,22.28,80,995.6,FosterWeatherStation201908040600,Missing critical fields: Measurement Timestamp
Oak Street Weather Station,,23.6,82,996.7,OakStreetWeatherStation201908040600,Missing critical fields: Measurement Timestamp
63rd Street Weather Station,,22.9,92,996.1,63rdStreetWeatherStation201908040700,Missing critical fields: Measurement Timestamp
Foster Weather Station,,22.28,78,995.6,FosterWeatherStation201908040700,Missing critical fields: Measurement Timestamp
